"","Code","deployment_ID","Length","OpCode","Species","Family","Genus","GRTS_ID","Habitat","Broadscale_habitat","Species_latin","Order","Functional_group","Simplified_functional_group","Commercial_group"
"29",105814,"3063",888.652,"BEN3063","Nursehound","Scyliorhinidae","Scyliorhinus",202,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"30",105814,"3171",780.709,"BEN_3171","Nursehound","Scyliorhinidae","Scyliorhinus",122,"Reefs","Infralittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"31",105814,"3108",1211.208,"BEN_3108","Nursehound","Scyliorhinidae","Scyliorhinus",64,"Sediment","Subtidal sediments","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"32",105814,"3190",752.941,"BEN_3190","Nursehound","Scyliorhinidae","Scyliorhinus",168,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"33",105814,"3146",805.569,"BEN_3146","Nursehound","Scyliorhinidae","Scyliorhinus",274,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"34",105814,"3012",1030.673,"BEN_3012","Nursehound","Scyliorhinidae","Scyliorhinus",245,"Reefs","Circalittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"35",105814,"3208",516.004,"BEN_3208","Nursehound","Scyliorhinidae","Scyliorhinus",237,"Reefs","Infralittoral rock","Scyliorhinus stellaris","Carcharhiniformes","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays"
"36",105815,"3151",670.421,"BEN_3151","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",214,"Reefs","Circalittoral rock","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"37",105815,"3215",570.784,"BEN_3215","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",210,"Reefs","Circalittoral rock","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"38",105815,"3179",806.006,"BEN_3179","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",38,"Sediment","Subtidal sediments","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"39",105815,"3149",639.687,"BEN_3149","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",226,"Reefs","Infralittoral rock","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"40",105815,"3114",557.661,"BEN_3114","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",158,"Sediment","Subtidal sediments","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"41",105815,"3216",644.293,"BEN_3216","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",130,"Sediment","Subtidal sediments","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"42",105815,"3142",679.26,"BEN_3142","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",20,"Reefs","Circalittoral rock","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
"43",105815,"3211",503.116,"BEN_3211","Small_spotted_catshark","Scyliorhinidae","Scyliorhinus",69,"Reefs","Infralittoral rock","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays"
