"","GRTS_ID","deployment_ID","Date","Broadscale_habitat","Mixed","Main_habitat","Secondary_habitat","Relief_score","Lat","Lon","TimeIN","TimeOUT","Depth","Temp","Rug_mean","Rug_range","Remoteness","Aspect_mean","Exposure","Slope_mean","MCZ","SAC","Time_high_tide","Time_low_tide","Height_of_tide","Habitat"
"1565",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1566",270,"3233","24/08/2023","Circalittoral rock","N","Circalittoral_rock","","2","49.86946","-6.42","07:40:00","08:56:00","32","15.1","4.844135099","9.256686449","5232.5","156.1192592","66.1","3.91116441","0","1","10:11:00","NA","4.6","Reefs"
"1567",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1568",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1569",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1570",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1571",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1572",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1573",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1574",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1575",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1576",271,"3007","14/06/2022","Circalittoral rock","N","Sponges_fans_corals","","2","49.90789","-6.42031","18:56:00","10:42:00","33.9","12.99","2.254162581","1.978452533","4680.4","186.6329929","96.6","2.07029091","0","1","17:28:00","NA","5.69","Reefs"
"1577",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1578",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1579",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1580",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1581",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1582",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1583",272,"3226","23/08/2023","Circalittoral rock","N","Mixed_faunal_turf","","2","50.0381","-6.12105","07:44:00","09:06:00","29","15.8","1.90167254","4.511187255","12924.5","90.69380855","0.7","11.77964571","0","0","09:27:00","NA","4.8","Reefs"
"1584",273,"3019","16/06/2022","Circalittoral rock","N","Circalittoral_rock","","3","49.96732","-6.35268","13:51:00","15:01:00","25.5","13.3","9.298016775","19.24701214","156.2","261.2628911","171.3","8.490715925","0","1","NA","13.11","0.75","Reefs"
