"","GRTS_ID","deployment_ID","Species","Species_latin","MaxN","Time (HMS)","Order","Family","Genus","Functional_group","Simplified_functional_group","Commercial_group","Code","Lat","Lon"
"1091",204,"3188","Cuckoo_wrasse","Labrus mixtus",2,00:27:05,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.89744","-6.31482"
"1092",204,"3188","Edible_crab","Cancer pagurus",1,00:21:19,"Decapoda","Cancridae","Cancer","Lobsters, crabs","Crustaceans","Crustaceans",107276,"49.89744","-6.31482"
"1093",204,"3188","Grey_gurnard","Eutrigla gurnardus",1,00:22:34,"Perciformes","Triglidae","Eutrigla","Medium demersals (30 - 89 cm)","Demersal fish","Scorpionfishes",150637,"49.89744","-6.31482"
"1094",204,"3188","Nursehound","Scyliorhinus stellaris",1,00:27:36,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays",105814,"49.89744","-6.31482"
"1095",204,"3188","Pollack","Pollachius pollachius",1,00:02:54,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.89744","-6.31482"
"1096",204,"3188","Poor_cod","Trisopterus luscus",1,00:09:15,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.89744","-6.31482"
"1097",204,"3188","Pouting","Trisopterus minutus",1,00:25:01,"Gadiformes","Gadidae","Trisopterus","Medium benthopelagics (30 - 89 cm)","Benthopelagic fish","Cod likes",126446,"49.89744","-6.31482"
"1098",204,"3188","Small_spotted_catshark","Scyliorhinus canicula",2,00:30:23,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.89744","-6.31482"
"1099",204,"3188","Spiny_spider_crab","Maja brachydactyla",1,00:13:58,"Decapoda","Majidae","Maja","Lobsters, crabs","Crustaceans","Crustaceans",107347,"49.89744","-6.31482"
"1100",205,"3209","Cuckoo_wrasse","Labrus mixtus",2,00:05:32,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.9831","-6.29873"
"1101",205,"3209","Goldsinny_wrasse","Ctenolabrus rupestris",1,00:37:57,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.9831","-6.29873"
"1102",205,"3209","Lesser_sandeel","Ammodytes tobianus",2,00:22:56,"Trachiniformes","Ammodytidae","Ammodytes","Small demersals (<30 cm)","Demersal fish","Other fishes & inverts",126752,"49.9831","-6.29873"
"1103",205,"3209","Pollack","Pollachius pollachius",2,00:01:53,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.9831","-6.29873"
"1104",205,"3209","Rock_cook","Centrolabrus exoletus",2,00:28:21,"Labriformes","Labridae","Centrolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126961,"49.9831","-6.29873"
"1105",206,"3235","Ballan_wrasse","Labrus bergylta",3,01:03:43,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.8713","-6.43359"
"1106",206,"3235","Common_spiny_lobster","Palinurus elephas",2,00:05:38,"Decapoda","Palinuridae","Palinurus","Lobsters, crabs","Crustaceans","Crustaceans",107703,"49.8713","-6.43359"
"1107",206,"3235","Cuckoo_wrasse","Labrus mixtus",1,00:04:20,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.8713","-6.43359"
"1108",206,"3235","European_lobster","Homarus gammarus",1,00:57:22,"Decapoda","Nephropidae","Homarus","Lobsters, crabs","Crustaceans","Crustaceans",107253,"49.8713","-6.43359"
"1109",206,"3235","Goldsinny_wrasse","Ctenolabrus rupestris",1,00:28:50,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.8713","-6.43359"
"1110",206,"3235","Pollack","Pollachius pollachius",1,00:09:14,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.8713","-6.43359"
"1111",206,"3235","Poor_cod","Trisopterus luscus",1,00:08:25,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.8713","-6.43359"
"1112",206,"3235","Rock_cook","Centrolabrus exoletus",3,01:01:18,"Labriformes","Labridae","Centrolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126961,"49.8713","-6.43359"
"1113",206,"3235","Small_spotted_catshark","Scyliorhinus canicula",3,00:48:19,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.8713","-6.43359"
"1114",206,"3235","Three_bearded_rockling","Gaidropsarus vulgaris",1,00:04:30,"Gadiformes","Gaidropsaridae","Gaidropsarus","Medium demersal (30 - 89 cm)","Demersal fish","Other fishes & inverts",126458,"49.8713","-6.43359"
"1115",206,"3235","juvenile_spp","NA",1,00:19:25,"NA","Other","juvenile_spp","NA","NA","NA",5,"49.8713","-6.43359"
"1116",207,"3153","Ballan_wrasse","Labrus bergylta",2,00:01:30,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.91054","-6.42516"
"1117",207,"3153","Common_spiny_lobster","Palinurus elephas",1,00:18:28,"Decapoda","Palinuridae","Palinurus","Lobsters, crabs","Crustaceans","Crustaceans",107703,"49.91054","-6.42516"
"1118",207,"3153","Common_urchin","Cyanea lamarckii",1,00:19:41,"Semaeostomeae","Echinidae","Echinus","Cnidaria","","",135302,"49.91054","-6.42516"
"1119",207,"3153","Cuckoo_wrasse","Labrus mixtus",1,00:21:17,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.91054","-6.42516"
"1120",207,"3153","Goldsinny_wrasse","Ctenolabrus rupestris",2,00:19:41,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.91054","-6.42516"
"1121",207,"3153","Pollack","Pollachius pollachius",1,00:01:39,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.91054","-6.42516"
"1122",207,"3153","Rock_cook","Centrolabrus exoletus",1,00:19:41,"Labriformes","Labridae","Centrolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126961,"49.91054","-6.42516"
"1123",207,"3153","Small_spotted_catshark","Scyliorhinus canicula",3,00:19:41,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.91054","-6.42516"
"1124",208,"3227","Ballan_wrasse","Labrus bergylta",3,00:21:33,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"50.03667","-6.12352"
"1125",208,"3227","Cuckoo_wrasse","Labrus mixtus",2,00:50:44,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"50.03667","-6.12352"
"1126",208,"3227","Goldsinny_wrasse","Ctenolabrus rupestris",1,00:31:07,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"50.03667","-6.12352"
"1127",208,"3227","Pollack","Pollachius pollachius",1,00:14:42,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"50.03667","-6.12352"
"1128",208,"3227","Saithe","Pollachius virens",1,00:38:58,"Gadiformes","Gadidae","Pollachius","Large demersals (>=90 cm)","Demersal fish","Cod likes",126441,"50.03667","-6.12352"
"1129",209,"3018","Ballan_wrasse","Labrus bergylta",1,00:07:27,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.95848","-6.36311"
"1130",209,"3018","Goldsinny_wrasse","Ctenolabrus rupestris",1,00:06:10,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.95848","-6.36311"
"1131",209,"3018","Nursehound","Scyliorhinus stellaris",1,00:17:46,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays",105814,"49.95848","-6.36311"
"1132",209,"3018","Pollack","Pollachius pollachius",2,00:28:17,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.95848","-6.36311"
"1133",209,"3018","Poor_cod","Trisopterus luscus",1,00:12:19,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.95848","-6.36311"
"1134",210,"3215","Atlantic_horse_mackerel","Trachurus trachurus",2,01:01:22,"Carangiformes","Carangidae","Trachurus","Medium pelagics (30 - 89 cm)","Pelagic fish","Perch-likes",126822,"49.8913","-6.41565"
"1135",210,"3215","Ballan_wrasse","Labrus bergylta",2,00:02:06,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.8913","-6.41565"
"1136",210,"3215","Common_spiny_lobster","Palinurus elephas",1,00:51:22,"Decapoda","Palinuridae","Palinurus","Lobsters, crabs","Crustaceans","Crustaceans",107703,"49.8913","-6.41565"
"1137",210,"3215","Common_urchin","Cyanea lamarckii",1,00:02:23,"Semaeostomeae","Echinidae","Echinus","Cnidaria","","",135302,"49.8913","-6.41565"
"1138",210,"3215","Cuckoo_wrasse","Labrus mixtus",4,00:02:15,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.8913","-6.41565"
"1139",210,"3215","Goldsinny_wrasse","Ctenolabrus rupestris",2,00:25:52,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"49.8913","-6.41565"
"1140",210,"3215","Pollack","Pollachius pollachius",2,00:01:58,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"49.8913","-6.41565"
"1141",210,"3215","Poor_cod","Trisopterus luscus",1,00:04:32,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"49.8913","-6.41565"
"1142",210,"3215","Rock_cook","Centrolabrus exoletus",10,00:02:45,"Labriformes","Labridae","Centrolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126961,"49.8913","-6.41565"
"1143",210,"3215","Small_spotted_catshark","Scyliorhinus canicula",2,00:28:38,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"49.8913","-6.41565"
"1144",212,"3223","Ballan_wrasse","Labrus bergylta",2,00:22:47,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"50.02946","-6.13565"
"1145",212,"3223","Common_urchin","Cyanea lamarckii",4,00:20:23,"Semaeostomeae","Echinidae","Echinus","Cnidaria","","",135302,"50.02946","-6.13565"
"1146",212,"3223","Cuckoo_wrasse","Labrus mixtus",9,00:43:12,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"50.02946","-6.13565"
"1147",212,"3223","Gilthead_bream","Sparus aurata",1,01:02:56,"Perciformes","Sparidae","Sparus","Medium demersals (30 - 89 cm)","Demersal fish","Perch likes",151523,"50.02946","-6.13565"
"1148",212,"3223","Goldsinny_wrasse","Ctenolabrus rupestris",1,00:03:12,"Labriformes","Labridae","Ctenolabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126964,"50.02946","-6.13565"
"1149",212,"3223","Nursehound","Scyliorhinus stellaris",1,00:31:32,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays",105814,"50.02946","-6.13565"
"1150",212,"3223","Pollack","Pollachius pollachius",1,00:38:27,"Gadiformes","Gadidae","Pollachius","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes",126440,"50.02946","-6.13565"
"1151",212,"3223","Poor_cod","Trisopterus luscus",1,00:29:31,"Gadiformes","Gadidae","Trisopterus","Small demersals (<30 cm)","Demersal fish","Perch likes",126445,"50.02946","-6.13565"
"1152",212,"3223","Pouting","Trisopterus minutus",2,00:18:04,"Gadiformes","Gadidae","Trisopterus","Medium benthopelagics (30 - 89 cm)","Benthopelagic fish","Cod likes",126446,"50.02946","-6.13565"
"1153",212,"3223","Scale rayed wrasse","Acantholabrus palloni",1,00:09:10,"Labriformes","Labridae","Acantholabrus","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes",126957,"50.02946","-6.13565"
"1154",212,"3223","Small_spotted_catshark","Scyliorhinus canicula",3,00:23:47,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays",105815,"50.02946","-6.13565"
"1155",213,"3021","Ballan_wrasse","Labrus bergylta",1,00:01:06,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",126965,"49.97265","-6.34475"
"1156",213,"3021","Cuckoo_wrasse","Labrus mixtus",1,00:51:23,"Labriformes","Labridae","Labrus","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes",151501,"49.97265","-6.34475"
"1157",213,"3021","Nursehound","Scyliorhinus stellaris",2,00:33:25,"Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Large sharks (>= 90 cm)","Sharks and rays","Sharks & rays",105814,"49.97265","-6.34475"
